Designator,Mid X,Mid Y,Rotation,Layer
A1,127.0,-85.344,0.0,top
C1,123.19,-102.313,90.0,top
C2,131.367,-120.396,180.0,top
C3,131.318,-117.983,180.0,top
C4,131.699,-108.839,180.0,top
C7,133.5805,-126.492,180.0,top
D1,144.272,-68.072,0.0,top
D10,144.272,-109.982,0.0,top
D11,110.364,-109.982,180.0,top
D12,110.364,-101.6,180.0,top
D13,144.272,-118.364,0.0,top
D14,144.272,-126.746,0.0,top
D15,110.364,-126.746,180.0,top
D16,110.364,-118.364,180.0,top
D2,144.272,-76.454,0.0,top
D3,110.364,-76.454,180.0,top
D4,110.364,-68.072,180.0,top
D5,144.272,-84.836,0.0,top
D6,144.272,-93.218,0.0,top
D7,110.364,-93.218,180.0,top
D8,110.364,-84.836,180.0,top
D9,144.272,-101.6,0.0,top
FH1,149.482,-143.256,0.0,top
GL1,128.523241,-127.619288,0.0,top
J1,77.47,-100.586,270.0,top
J2,176.53,-100.496,90.0,top
J3,126.718,-140.208,0.0,top
LD1,116.332,-79.502,90.0,top
LD10,116.332,-104.648,90.0,top
LD11,137.668,-104.648,90.0,top
LD12,137.668,-113.03,90.0,top
LD13,116.332,-129.794,90.0,top
LD14,116.332,-121.412,90.0,top
LD15,137.668,-121.412,90.0,top
LD16,137.668,-129.794,90.0,top
LD2,116.332,-71.12,90.0,top
LD3,137.668,-71.12,90.0,top
LD4,137.668,-79.502,90.0,top
LD5,116.332,-96.266,90.0,top
LD6,116.332,-87.884,90.0,top
LD7,137.668,-87.884,90.0,top
LD8,137.668,-96.266,90.0,top
LD9,116.332,-113.03,90.0,top
Q1,149.352,-72.7655,270.0,top
Q10,149.352,-114.6755,270.0,top
Q11,104.714,-114.6755,270.0,top
Q12,104.714,-106.2935,270.0,top
Q13,149.352,-123.0575,270.0,top
Q14,149.352,-131.4395,270.0,top
Q15,104.714,-131.4395,270.0,top
Q16,104.714,-123.0575,270.0,top
Q17,168.188,-143.25,180.0,top
Q2,149.352,-81.1475,270.0,top
Q3,104.714,-81.1475,270.0,top
Q4,104.714,-72.7655,270.0,top
Q5,149.352,-89.5295,270.0,top
Q6,149.352,-97.9115,270.0,top
Q7,104.714,-97.9115,270.0,top
Q8,104.714,-89.5295,270.0,top
Q9,149.352,-106.2935,270.0,top
R1,114.554,-79.502,270.0,top
R10,114.554,-87.884,270.0,top
R11,139.446,-87.884,270.0,top
R12,139.446,-96.266,270.0,top
R13,101.092,-114.6155,270.0,top
R14,101.092,-106.2335,270.0,top
R15,101.092,-131.3795,270.0,top
R16,101.092,-122.9975,270.0,top
R17,114.554,-113.03,270.0,top
R18,114.554,-104.648,270.0,top
R19,139.446,-104.648,270.0,top
R2,114.554,-71.12,270.0,top
R20,139.446,-113.03,270.0,top
R21,152.908,-72.7055,90.0,top
R22,152.908,-81.0875,90.0,top
R23,152.908,-97.8515,90.0,top
R24,152.908,-89.4695,90.0,top
R25,114.554,-129.794,270.0,top
R26,114.554,-121.412,270.0,top
R27,139.446,-121.412,270.0,top
R28,139.446,-129.794,270.0,top
R29,152.908,-106.2335,90.0,top
R3,139.446,-71.12,270.0,top
R30,152.908,-114.6155,90.0,top
R31,152.908,-122.9975,90.0,top
R32,152.908,-131.3795,90.0,top
R33,133.5805,-132.842,0.0,top
R34,133.5805,-129.667,0.0,top
R35,142.494,-71.12,90.0,top
R36,142.494,-79.502,90.0,top
R37,111.506,-79.502,90.0,top
R38,111.506,-71.12,90.0,top
R39,142.494,-87.884,90.0,top
R4,139.446,-79.502,270.0,top
R40,142.494,-96.266,90.0,top
R41,111.506,-96.266,90.0,top
R42,111.506,-87.884,90.0,top
R43,142.494,-104.648,90.0,top
R44,142.494,-113.03,90.0,top
R45,111.506,-113.03,90.0,top
R46,111.506,-104.648,90.0,top
R47,142.494,-121.412,90.0,top
R48,142.494,-129.794,90.0,top
R49,111.506,-129.794,90.0,top
R5,101.092,-81.0875,270.0,top
R50,111.506,-121.412,90.0,top
R51,121.92,-105.918,0.0,top
R52,175.768,-144.8835,270.0,top
R6,101.092,-72.7055,270.0,top
R7,101.092,-97.8515,270.0,top
R8,101.092,-89.4695,270.0,top
R9,114.554,-96.266,270.0,top
RV1,103.886,-141.986,180.0,top
SW1,85.9012,-141.224,0.0,top
U1,93.392,-81.092,180.0,top
U10,93.392,-106.238,180.0,top
U11,160.528,-106.238,0.0,top
U12,160.528,-114.62,0.0,top
U13,93.392,-131.384,180.0,top
U14,93.392,-123.002,180.0,top
U15,160.528,-123.002,0.0,top
U16,160.528,-131.384,0.0,top
U17,127.548,-113.29,180.0,top
U2,93.392,-72.71,180.0,top
U3,160.528,-72.71,0.0,top
U4,160.528,-81.092,0.0,top
U5,93.392,-97.856,180.0,top
U6,93.392,-89.474,180.0,top
U7,160.528,-89.474,0.0,top
U8,160.528,-97.856,0.0,top
U9,93.392,-114.62,180.0,top
